Date,Price,Open,High,Low,Vol.,Change %
04-12-2022,0.38973,0.38728,0.39299,0.38635,178.56M,0.68%
03-12-2022,0.38711,0.39629,0.39643,0.3855,203.82M,-2.32%
02-12-2022,0.39631,0.39672,0.3974,0.38392,339.93M,-0.10%
01-12-2022,0.3967,0.40779,0.40917,0.39446,332.05M,-2.72%
30-11-2022,0.4078,0.39802,0.4112,0.39348,429.20M,2.45%
29-11-2022,0.39804,0.38871,0.40329,0.38329,464.52M,2.25%
28-11-2022,0.38929,0.39612,0.399,0.3741,570.56M,-1.72%
27-11-2022,0.39611,0.39616,0.40905,0.39481,262.33M,0.00%
26-11-2022,0.39611,0.40778,0.41438,0.39352,242.81M,-2.86%
25-11-2022,0.40775,0.40198,0.41878,0.38941,554.66M,1.44%
24-11-2022,0.40197,0.38182,0.40448,0.37438,582.06M,5.27%
23-11-2022,0.38183,0.37576,0.38229,0.36822,457.82M,1.62%
22-11-2022,0.37576,0.36459,0.37807,0.35138,600.91M,3.08%
21-11-2022,0.36455,0.36123,0.36828,0.34668,758.31M,0.90%
20-11-2022,0.36129,0.38403,0.39598,0.35992,396.50M,-5.92%
19-11-2022,0.38401,0.38039,0.38822,0.37989,199.13M,0.62%
18-11-2022,0.38166,0.38379,0.38487,0.37519,380.62M,-0.19%
17-11-2022,0.38239,0.37386,0.38619,0.36936,545.28M,2.36%
16-11-2022,0.37355,0.389,0.39098,0.36229,471.29M,-3.99%
15-11-2022,0.38908,0.37684,0.39657,0.36701,720.64M,3.26%
14-11-2022,0.37681,0.34082,0.37908,0.32185,909.99M,10.56%
13-11-2022,0.34082,0.36344,0.36922,0.33293,443.13M,-6.22%
12-11-2022,0.36341,0.3843,0.38434,0.3597,342.07M,-5.43%
11-11-2022,0.38429,0.39463,0.39895,0.36638,626.43M,-2.64%
10-11-2022,0.39469,0.33213,0.40259,0.33066,1.07B,18.86%
09-11-2022,0.33206,0.40603,0.4108,0.32032,1.24B,-18.22%
08-11-2022,0.40602,0.465,0.46679,0.34025,1.33B,-12.69%
07-11-2022,0.46504,0.47098,0.47982,0.4593,444.10M,-1.27%
06-11-2022,0.471,0.49301,0.49444,0.4689,224.89M,-4.47%
05-11-2022,0.49302,0.50606,0.5096,0.4901,279.44M,-2.56%
04-11-2022,0.50596,0.45488,0.5075,0.45335,771.35M,11.23%
03-11-2022,0.45488,0.44994,0.45979,0.4489,321.04M,1.10%
02-11-2022,0.44992,0.46359,0.46582,0.44536,431.74M,-2.95%
01-11-2022,0.46361,0.46434,0.46698,0.45454,382.58M,-0.16%
31-10-2022,0.46434,0.45805,0.46699,0.44851,449.10M,1.38%
30-10-2022,0.45803,0.47024,0.47307,0.45427,279.44M,-2.57%
29-10-2022,0.47011,0.47445,0.48358,0.46664,447.66M,-0.92%
28-10-2022,0.47449,0.4615,0.47532,0.45659,372.22M,2.80%
27-10-2022,0.46158,0.46896,0.48183,0.45872,568.85M,-1.58%
26-10-2022,0.469,0.46055,0.47088,0.4569,463.93M,1.83%
25-10-2022,0.46055,0.45314,0.47251,0.44372,511.21M,1.63%
24-10-2022,0.45318,0.46882,0.47233,0.44834,391.99M,-3.34%
23-10-2022,0.46883,0.46533,0.47208,0.45222,298.41M,0.73%
22-10-2022,0.46542,0.4612,0.47038,0.45633,259.59M,0.92%
21-10-2022,0.46119,0.44651,0.4614,0.43604,535.22M,3.26%
20-10-2022,0.44665,0.45063,0.46441,0.42958,573.03M,-0.89%
19-10-2022,0.45064,0.4658,0.4666,0.44846,470.77M,-3.26%
18-10-2022,0.46582,0.4804,0.48406,0.45759,439.64M,-2.92%
17-10-2022,0.47982,0.47659,0.48246,0.46295,396.30M,0.67%
16-10-2022,0.47661,0.48182,0.48727,0.47099,311.82M,-1.08%
15-10-2022,0.48181,0.48846,0.48994,0.47872,234.48M,-1.36%
14-10-2022,0.48847,0.47909,0.5118,0.47844,644.51M,1.95%
13-10-2022,0.47911,0.48818,0.48939,0.4421,874.79M,-1.86%
12-10-2022,0.4882,0.48609,0.49578,0.48218,368.61M,0.43%
11-10-2022,0.4861,0.49375,0.50226,0.47921,639.11M,-1.55%
10-10-2022,0.49376,0.53251,0.53788,0.49376,717.97M,-7.30%
09-10-2022,0.53262,0.51717,0.54678,0.50641,507.03M,2.99%
08-10-2022,0.51716,0.51768,0.52869,0.5112,485.42M,-0.12%
07-10-2022,0.51775,0.49351,0.52633,0.4824,727.40M,4.90%
06-10-2022,0.49357,0.48871,0.50561,0.48851,581.53M,1.00%
05-10-2022,0.48869,0.47958,0.50066,0.47229,795.81M,1.90%
04-10-2022,0.47959,0.46223,0.48503,0.45206,729.11M,3.74%
03-10-2022,0.46228,0.44829,0.46906,0.43821,573.49M,3.12%
02-10-2022,0.44831,0.47534,0.47811,0.44541,493.04M,-5.70%
01-10-2022,0.47542,0.47989,0.48625,0.46765,483.10M,-0.93%
30-09-2022,0.47989,0.487,0.49861,0.47094,981.82M,-1.45%
29-09-2022,0.48693,0.4488,0.50859,0.42761,1.10B,8.50%
28-09-2022,0.44877,0.44681,0.45529,0.41763,860.09M,0.43%
27-09-2022,0.44684,0.4682,0.48743,0.43698,912.72M,-4.56%
26-09-2022,0.46819,0.49188,0.50156,0.45805,953.40M,-4.84%
25-09-2022,0.49202,0.48782,0.51964,0.47615,1.17B,0.86%
24-09-2022,0.48781,0.50773,0.51885,0.47238,1.17B,-3.91%
23-09-2022,0.50768,0.48582,0.55696,0.45676,2.73B,4.63%
22-09-2022,0.48522,0.39402,0.49396,0.39399,2.03B,23.14%
21-09-2022,0.39403,0.41464,0.43155,0.38478,1.45B,-5.00%
20-09-2022,0.41477,0.38473,0.42258,0.37101,1.73B,7.75%
19-09-2022,0.38493,0.35784,0.39252,0.3403,1.17B,7.58%
18-09-2022,0.3578,0.37588,0.39753,0.35598,1.07B,-4.81%
17-09-2022,0.37587,0.35519,0.37994,0.34648,712.35M,5.80%
16-09-2022,0.35525,0.32629,0.35766,0.3219,615.85M,8.86%
15-09-2022,0.32635,0.34175,0.34268,0.32458,705.31M,-4.53%
14-09-2022,0.34183,0.3326,0.34411,0.33153,608.62M,2.77%
13-09-2022,0.33261,0.35977,0.36019,0.33113,652.15M,-7.55%
12-09-2022,0.35977,0.35518,0.35999,0.348,424.58M,1.29%
11-09-2022,0.3552,0.3573,0.36014,0.3496,255.60M,-0.59%
10-09-2022,0.3573,0.35691,0.36172,0.35178,330.50M,0.10%
09-09-2022,0.35694,0.33958,0.359,0.33946,587.11M,5.11%
08-09-2022,0.33958,0.33684,0.34325,0.32841,434.48M,0.84%
07-09-2022,0.33676,0.3214,0.33852,0.31367,486.16M,4.78%
06-09-2022,0.3214,0.33288,0.34304,0.3196,590.01M,-3.47%
05-09-2022,0.33294,0.33172,0.33354,0.32267,309.63M,0.37%
04-09-2022,0.33172,0.32977,0.3327,0.32783,172.37M,0.64%
03-09-2022,0.32962,0.33143,0.33356,0.32669,189.98M,-0.55%
02-09-2022,0.33143,0.33315,0.33528,0.32531,341.49M,-0.51%
01-09-2022,0.33313,0.32772,0.33337,0.32175,382.36M,1.65%
31-08-2022,0.32771,0.32668,0.33389,0.32312,394.94M,0.33%
30-08-2022,0.32662,0.33386,0.33559,0.32041,431.01M,-2.17%
29-08-2022,0.33388,0.32234,0.33396,0.3187,480.91M,3.62%
28-08-2022,0.32224,0.33461,0.33717,0.32167,273.06M,-3.70%
27-08-2022,0.33461,0.33919,0.34365,0.32914,327.26M,-1.29%
26-08-2022,0.33899,0.3491,0.37003,0.33255,782.04M,-2.90%
25-08-2022,0.34911,0.34562,0.35209,0.34366,399.65M,1.01%
24-08-2022,0.34561,0.34721,0.35243,0.33903,371.60M,-0.44%
23-08-2022,0.34714,0.34408,0.34791,0.33275,425.19M,0.87%
22-08-2022,0.34415,0.34487,0.34505,0.33158,451.15M,-0.16%
21-08-2022,0.34471,0.33678,0.34834,0.33552,313.56M,2.35%
20-08-2022,0.33678,0.33456,0.34266,0.33218,353.66M,0.65%
19-08-2022,0.33459,0.37024,0.37031,0.33152,746.16M,-9.63%
18-08-2022,0.37024,0.37957,0.38112,0.36927,375.45M,-2.46%
17-08-2022,0.37957,0.37698,0.39182,0.36851,590.03M,0.69%
16-08-2022,0.37696,0.37507,0.37819,0.36679,375.77M,0.49%
15-08-2022,0.37511,0.37569,0.38491,0.36625,454.56M,-0.15%
14-08-2022,0.37566,0.378,0.39211,0.3741,351.61M,-0.62%
13-08-2022,0.37799,0.3794,0.38713,0.37644,239.06M,-0.37%
12-08-2022,0.37938,0.38015,0.38079,0.37026,349.89M,-0.20%
11-08-2022,0.38015,0.3814,0.38554,0.37735,427.94M,-0.32%
10-08-2022,0.38137,0.36731,0.38143,0.35862,432.45M,3.81%
09-08-2022,0.36736,0.37878,0.37998,0.36097,355.88M,-3.02%
08-08-2022,0.37878,0.37227,0.38453,0.3714,404.56M,1.75%
07-08-2022,0.37227,0.3714,0.37707,0.36819,144.56M,0.24%
06-08-2022,0.3714,0.3764,0.3776,0.37065,136.31M,-1.33%
05-08-2022,0.3764,0.37084,0.37824,0.36748,292.34M,1.50%
04-08-2022,0.37083,0.36951,0.37489,0.36438,290.34M,0.36%
03-08-2022,0.36951,0.37148,0.3773,0.36322,353.81M,-0.53%
02-08-2022,0.37147,0.37907,0.39344,0.36702,443.99M,-2.01%
01-08-2022,0.37908,0.37927,0.38579,0.37133,342.91M,-0.05%
31-07-2022,0.37928,0.38768,0.39865,0.37857,359.21M,-2.16%
30-07-2022,0.38767,0.36776,0.40906,0.36339,583.13M,5.43%
29-07-2022,0.3677,0.3738,0.37972,0.35976,443.23M,-1.62%
28-07-2022,0.37377,0.35942,0.37895,0.34946,533.67M,3.98%
27-07-2022,0.35948,0.33758,0.3596,0.33044,446.60M,6.48%
26-07-2022,0.33761,0.33578,0.33835,0.32559,425.20M,0.55%
25-07-2022,0.33577,0.35861,0.36011,0.33561,394.69M,-6.37%
24-07-2022,0.35861,0.35929,0.36663,0.356,242.34M,-0.20%
